Date : 2026-02-12 13:50:41
Directory : e:\dev\a2a-dotnet
Total : 163 files,  16478 codes, 3426 comments, 2956 blanks, all 22860 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| e:\dev\a2a-dotnet\src\A2A\Models\AgentCard.cs                                                                | C#       |         51 |         83 |         20 |        154 |
| e:\dev\a2a-dotnet\src\A2A\Models\AgentCardSignature.cs                                                       | C#       |         13 |         14 |          4 |         31 |
| e:\dev\a2a-dotnet\src\A2A\Models\AgentExtension.cs                                                           | C#       |         15 |         15 |          6 |         36 |
| e:\dev\a2a-dotnet\src\A2A\Models\AgentInterface.cs                                                           | C#       |         11 |         13 |          3 |         27 |
| e:\dev\a2a-dotnet\src\A2A\Models\AgentMessage.cs                                                             | C#       |         31 |         36 |         10 |         77 |
| e:\dev\a2a-dotnet\src\A2A\Models\AgentProvider.cs                                                            | C#       |         11 |          9 |          4 |         24 |
| e:\dev\a2a-dotnet\src\A2A\Models\AgentSkill.cs                                                               | C#       |         25 |         41 |         10 |         76 |
| e:\dev\a2a-dotnet\src\A2A\Models\AgentTask.cs                                                                | C#       |         21 |         21 |          8 |         50 |
| e:\dev\a2a-dotnet\src\A2A\Models\AgentTaskStatus.cs                                                          | C#       |         12 |         15 |          4 |         31 |
| e:\dev\a2a-dotnet\src\A2A\Models\AgentTransport.cs                                                           | C#       |         47 |         59 |         15 |        121 |
| e:\dev\a2a-dotnet\src\A2A\Models\Artifact.cs                                                                 | C#       |         20 |         21 |          7 |         48 |
| e:\dev\a2a-dotnet\src\A2A\Models\DataPart.cs                                                                 | C#       |          9 |          6 |          2 |         17 |
| e:\dev\a2a-dotnet\src\A2A\Models\FileContent.cs                                                              | C#       |         67 |         35 |         18 |        120 |
| e:\dev\a2a-dotnet\src\A2A\Models\FilePart.cs                                                                 | C#       |          8 |          6 |          2 |         16 |
| e:\dev\a2a-dotnet\src\A2A\Models\GetTaskPushNotificationConfigParams.cs                                      | C#       |         13 |         12 |          5 |         30 |
| e:\dev\a2a-dotnet\src\A2A\Models\MessageSendParams.cs                                                        | C#       |         24 |         30 |          9 |         63 |
| e:\dev\a2a-dotnet\src\A2A\Models\Part.cs                                                                     | C#       |         33 |         28 |          7 |         68 |
| e:\dev\a2a-dotnet\src\A2A\Models\PartKind.cs                                                                 | C#       |          7 |         18 |          3 |         28 |
