"filename", "language", "XML", "YAML", "Markdown", "JSON", "Http", "C#", "comment", "blank", "total"
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\AgentCardSignatureTests.cs", "C#", 0, 0, 0, 0, 0, 59, 10, 11, 80
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\AgentCardTests.cs", "C#", 0, 0, 0, 0, 0, 253, 22, 27, 302
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\AgentSkillTests.cs", "C#", 0, 0, 0, 0, 0, 125, 14, 17, 156
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\AgentTransportTests.cs", "C#", 0, 0, 0, 0, 0, 79, 21, 22, 122
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\BaseKindDiscriminatorConverterEdgeTests.cs", "C#", 0, 0, 0, 0, 0, 19, 8, 9, 36
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\FileContentSpecComplianceTests.cs", "C#", 0, 0, 0, 0, 0, 126, 20, 25, 171
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\MessageSendParamsTests.cs", "C#", 0, 0, 0, 0, 0, 85, 7, 13, 105
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\SecuritySchemeTests.cs", "C#", 0, 0, 0, 0, 0, 160, 27, 33, 220
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\ParsingTests.cs", "C#", 0, 0, 0, 0, 0, 135, 19, 15, 169
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\Properties\AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 2, 0, 1, 3
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\Server\InMemoryTaskStoreTests.cs", "C#", 0, 0, 0, 0, 0, 186, 42, 55, 283
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\Server\TaskManagerTests.cs", "C#", 0, 0, 0, 0, 0, 649, 60, 118, 827
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\Server\TaskUpdateEventEnumeratorTests.cs", "C#", 0, 0, 0, 0, 0, 65, 12, 11, 88
"Total", "-", 326, 1291, 3237, 2161, 356, 9107, 3426, 2956, 22860
